Date,Open,High,Low,Close,Volume
2017-07-21,132.71,137.08,131.0801,135.31,32700513
2017-07-14,132.74,133.0,130.48,132.6,21418194
2017-07-07,132.79,134.06,131.69,132.54,15996278
2017-06-30,136.48,136.899,132.28,132.29,28945943
2017-06-23,134.15,137.0,133.49,136.43,33505596
2017-06-16,131.64,134.605,131.09,134.35,38517485
2017-06-09,129.97,131.7,129.8,131.53,30048195
2017-06-02,126.7,130.14,126.19,130.08,24673982
2017-05-26,126.63,128.15,126.33,126.92,21905974
2017-05-19,124.41,128.37,124.33,127.0,36969731
2017-05-12,123.53,124.1,122.34,123.64,19590252
2017-05-05,123.4,123.95,122.86,123.51,20613792
2017-04-28,122.52,124.3057,122.15,123.47,24277680
2017-04-21,125.02,125.81,120.95,121.76,24847277
2017-04-13,124.87,125.65,123.95,124.99,19708917
2017-04-07,124.73,125.6016,124.22,124.92,23900648
2017-03-31,125.16,126.14,124.03,124.55,24632862
2017-03-24,128.04,128.45,125.13,125.48,38677176
2017-03-17,125.83,129.0,125.79,128.06,44114296
2017-03-10,123.01,126.49,122.39,126.21,37190911
2017-03-03,122.13,124.45,121.94,123.79,36768877
2017-02-24,118.4,122.74,118.32,122.73,34514606
2017-02-17,115.28,118.9,115.22,118.86,33039939
2017-02-10,113.46,115.99,112.62,115.24,29251061
2017-02-03,113.4,113.66,112.43,113.64,37858732
2017-01-27,114.51,114.77,110.76,113.38,48873696
2017-01-20,113.94,115.1,113.67,114.15,24313273
2017-01-13,116.35,117.0,113.37,114.6,31219756
2017-01-06,115.78,117.0,115.23,116.3,23220544
2016-12-30,115.89,116.16,114.975,115.21,15011590
2016-12-23,116.07,116.66,113.88,115.96,25529158
2016-12-16,112.69,117.3,112.58,115.88,44003397
2016-12-09,112.4,113.2,109.32,112.26,39189944
2016-12-02,113.79,114.12,111.0,111.96,42350945
2016-11-25,115.44,115.6799,111.56,114.13,29393103
2016-11-18,118.58,118.99,114.81,115.36,37543955
2016-11-11,115.89,122.5,115.84,118.47,49332380
2016-11-04,115.28,116.23,114.5,115.11,36123321
2016-10-28,113.93,116.55,113.093,115.33,34527563
2016-10-21,117.5,118.55,112.99,113.44,42350007
2016-10-14,119.51,120.1955,117.06,117.56,27764539
2016-10-07,118.0,119.565,117.43,119.24,26858255
2016-09-30,118.63,119.52,117.0434,118.13,30555026
2016-09-23,118.36,119.84,117.64,118.81,27096007
2016-09-16,117.76,119.45,117.32,118.25,39546237
2016-09-09,119.78,119.97,118.18,118.23,22824459
2016-09-02,119.3,120.67,118.6,119.32,24945214
2016-08-26,119.9,119.96,118.33,119.04,30500604
2016-08-19,123.12,123.27,119.32,119.92,44727273
2016-08-12,124.0,124.15,122.95,123.22,21793756
2016-08-05,125.31,125.9,123.64,124.24,26958566
2016-07-29,125.07,125.55,124.14,125.23,26624014
2016-07-22,123.0,126.07,122.44,125.03,36657500
2016-07-15,122.71,124.3,122.31,123.0,23414591
2016-07-08,121.36,123.23,121.34,122.85,30855012
2016-07-01,115.0,121.54,115.0,121.29,47922208
2016-06-24,116.6,117.38,115.0,115.63,37627689
2016-06-17,117.13,117.74,115.01,115.48,38054781
2016-06-10,114.97,117.23,114.9301,117.01,32073436
2016-06-03,113.26,115.39,112.07,114.76,29046001
2016-05-27,112.77,113.725,112.04,113.06,26662547
2016-05-20,113.39,114.63,111.76,112.64,39391993
2016-05-13,112.98,115.0,112.73,113.56,35485197
2016-05-06,112.22,113.1,111.7,112.74,29448273
2016-04-29,113.31,113.56,111.51,112.08,32165509
2016-04-22,110.0,114.19,109.67,113.32,41897594
2016-04-15,109.15,110.4,108.65,110.18,35504406
2016-04-08,108.82,109.84,107.88,109.1,39560741
2016-04-01,108.41,109.56,107.69,109.19,33809805
2016-03-24,107.41,108.825,106.55,108.31,29971551
2016-03-18,107.92,108.35,106.36,107.5,46113750
2016-03-11,106.0,107.99,105.49,107.71,40352708
2016-03-04,105.28,107.41,105.04,106.5,41811493
2016-02-26,104.44,106.92,102.97,105.78,39790181
2016-02-19,102.37,104.68,101.65,104.16,39441567
2016-02-12,100.31,103.51,99.98,101.82,55701284
2016-02-05,103.61,104.785,99.78,100.54,56498519
2016-01-29,96.72,104.75,96.04,104.44,74346630
2016-01-22,97.93,98.41,94.28,96.75,44787726
2016-01-15,98.24,99.47,96.08,97.0,46007853
2016-01-08,101.71,101.81,97.85,98.16,46121801
2015-12-31,103.18,104.34,102.69,102.72,16733251
2015-12-24,102.34,103.91,100.85,103.72,21981418
2015-12-18,101.645,105.49,100.78,101.95,51748868
2015-12-11,102.61,103.49,101.43,101.68,37488596
2015-12-04,102.48,103.0,100.31,102.95,42996085
2015-11-27,102.39,103.0,101.79,102.37,21978008
2015-11-20,100.38,102.8,100.04,102.48,30858535
2015-11-13,101.39,102.355,99.74,99.88,33460861
2015-11-06,101.18,102.49,100.84,101.92,30885695
2015-10-30,100.05,102.12,99.49,101.03,40562016
2015-10-23,98.05,100.88,97.07,100.31,40927232
2015-10-16,95.07,98.31,94.12,98.24,49658795
2015-10-09,94.19,95.96,92.58,95.37,42600869
2015-10-02,90.7,94.47,89.9,93.93,54488249
2015-09-25,93.87,94.6,90.76,91.0,41481799
2015-09-18,92.9,96.19,92.51,93.39,43078978
